gameplay_score,graphics_score,optimization_score,monetization_score,core_keywords,title,review_text_length
0.8,,,,"['strategy', 'achievement', 'historical']",Expansion - Hearts of Iron IV: Man the Guns,195
0.7,,,-0.4,"['overpriced', 'moddable', 'historical accuracy']",Expansion - Hearts of Iron IV: Man the Guns,171
0.6,,,,"['toxic community', 'fun gameplay', 'killer vs survivor']",Dead by Daylight,2094
0.8,,,,"['fun', 'community', 'casual']",Dead by Daylight,1397
0.6,0.2,-0.2,,"['slasher', 'bugs', 'asymmetrical']",Dead by Daylight,4836
0.6,,,,"['toxic community', 'fun gameplay', 'killer vs survivor']",Dead by Daylight,2094
-1.0,,,,"['toxic community', 'harassment']",Dead by Daylight,72
0.8,,,,"['hide-and-seek', 'chase mechanics', 'team strategy']",Dead by Daylight,1830
,,,,"['toxicity', 'community']",Dead by Daylight,41
0.2,,-0.5,-0.8,"['asymmetrical', 'unbalanced', 'pay-to-win']",Dead by Daylight,1795
