일자,시가,고가,저가,종가,거래량,,,,,,,,,,,,
2023-02-03,"47,400","49,250","47,150","48,600","1,483,602",,,,,,,,,,,,
2023-02-02,"49,350","49,350","47,550","47,650","1,621,661",,,,,,,,,,,,
2023-02-01,"48,900","49,650","48,700","49,200","1,153,420",,,,,,,,,,,,
2023-01-31,"51,200","51,300","48,600","48,750","2,028,531",,,,,,,,,,,,
2023-01-30,"51,000","51,700","50,900","51,200","1,222,532",,,,,,,,,,,,
2023-01-27,"53,300","53,300","51,300","51,800","2,070,071",,,,,,,,,,,,
2023-01-26,"52,400","53,300","52,000","53,100","1,063,573",,,,,,,,,,,,
2023-01-25,"51,500","52,500","51,400","52,400","1,098,681",,,,,,,,,,,,
2023-01-20,"50,500","52,000","50,500","51,500","768,062",,,,,,,,,,,,
2023-01-19,"50,500","51,000","50,100","50,800","1,172,213",,,,,,,,,,,,
2023-01-18,"52,200","52,300","50,500","51,100","1,913,098",,,,,,,,,,,,
2023-01-17,"52,600","52,900","52,000","52,200","1,754,740",,,,,,,,,,,,
2023-01-16,"49,900","52,700","49,600","52,600","2,645,389",,,,,,,,,,,,
2023-01-13,"48,300","49,500","47,500","49,500","1,539,859",,,,,,,,,,,,
2023-01-12,"48,100","48,350","47,600","48,100","1,275,351",,,,,,,,,,,,
2023-01-11,"49,100","49,350","47,450","47,800","1,855,722",,,,,,,,,,,,
2023-01-10,"48,350","50,000","47,350","49,400","2,143,084",,,,,,,,,,,,
2023-01-09,"48,800","49,250","47,800","48,650","1,482,858",,,,,,,,,,,,
2023-01-06,"46,450","49,400","46,450","48,800","2,573,663",,,,,,,,,,,,
2023-01-05,"43,300","46,950","43,300","46,950","2,604,951",,,,,,,,,,,,
2023-01-04,"41,600","43,850","41,500","43,800","1,262,005",,,,,,,,,,,,
2023-01-03,"40,900","41,800","40,100","41,700","909,855",,,,,,,,,,,,
2023-01-02,"41,550","42,100","40,750","40,800","712,637",,,,,,,,,,,,
2022-12-29,"42,050","42,550","41,750","42,050","723,264",,,,,,,,,,,,
2022-12-28,"43,600","43,600","42,000","42,150","1,503,398",,,,,,,,,,,,
2022-12-27,"44,750","45,400","44,400","45,300","1,482,826",,,,,,,,,,,,
2022-12-26,"44,600","44,900","44,300","44,600","555,205",,,,,,,,,,,,
2022-12-23,"44,850","45,100","44,500","44,650","523,537",,,,,,,,,,,,
2022-12-22,"45,250","45,450","44,400","45,300","790,953",,,,,,,,,,,,
2022-12-21,"44,900","45,350","44,500","45,300","829,607",,,,,,,,,,,,
2022-12-20,"44,550","44,900","44,300","44,600","462,412",,,,,,,,,,,,
2022-12-19,"44,700","44,900","44,300","44,550","467,025",,,,,,,,,,,,
